,customerid,churn_probability,Classification
0,7590-VHVEG,0.98,High-risky
1,5575-GNVDE,0.0,Non-risky
2,3668-QPYBK,0.91,High-risky
3,7795-CFOCW,0.0,Non-risky
4,9237-HQITU,1.0,High-risky
5,9305-CDSKC,1.0,High-risky
6,1452-KIOVK,0.93,High-risky
7,6713-OKOMC,0.19,Non-risky
8,7892-POOKP,0.99,High-risky
9,6388-TABGU,0.01,Non-risky
10,9763-GRSKD,0.1,Non-risky
11,7469-LKBCI,0.0,Non-risky
12,8091-TTVAX,0.57,Risky
13,0280-XJGEX,1.0,High-risky
14,5129-JLPIS,0.61,Risky
15,3655-SNQYZ,0.0,Non-risky
16,8191-XWSZG,0.0,Non-risky
17,9959-WOFKT,0.09,Non-risky
18,4190-MFLUW,0.87,High-risky
19,4183-MYFRB,0.97,High-risky
20,8779-QRDMV,1.0,High-risky
21,1680-VDCWW,0.01,Non-risky
22,1066-JKSGK,1.0,High-risky
23,3638-WEABW,0.03,Non-risky
24,6322-HRPFA,0.03,Non-risky
25,6865-JZNKO,0.6,Risky
26,6467-CHFZW,0.88,High-risky
27,8665-UTDHZ,0.99,High-risky
28,5248-YGIJN,0.0,Non-risky
29,8773-HHUOZ,0.61,Risky
30,3841-NFECX,0.0,Non-risky
31,4929-XIHVW,1.0,High-risky
32,6827-IEAUQ,0.02,Non-risky
33,7310-EGVHZ,0.38,Non-risky
34,3413-BMNZE,0.93,High-risky
35,6234-RAAPL,0.0,Non-risky
36,6047-YHPVI,1.0,High-risky
37,6572-ADKRS,0.7,Risky
38,5380-WJKOV,0.97,High-risky
39,8168-UQWWF,1.0,High-risky
40,8865-TNMNX,0.17,Non-risky
41,9489-DEDVP,0.0,Non-risky
42,9867-JCZSP,0.0,Non-risky
43,4671-VJLCL,0.01,Non-risky
44,4080-IIARD,0.63,Risky
45,3714-NTNFO,0.87,High-risky
46,5948-UJZLF,0.96,High-risky
47,7760-OYPDY,1.0,High-risky
48,7639-LIAYI,0.08,Non-risky
49,2954-PIBKO,0.0,Non-risky
50,8012-SOUDQ,0.9,High-risky
51,9420-LOJKX,1.0,High-risky
52,6575-SUVOI,0.4,Non-risky
53,7495-OOKFY,1.0,High-risky
54,4667-QONEA,0.03,Non-risky
55,1658-BYGOY,0.84,High-risky
56,8769-KKTPH,0.11,Non-risky
57,5067-XJQFU,0.19,Non-risky
58,3957-SQXML,0.0,Non-risky
59,5954-BDFSG,0.22,Non-risky
60,0434-CSFON,0.94,High-risky
61,1215-FIGMP,0.52,Risky
62,0526-SXDJP,0.03,Non-risky
63,0557-ASKVU,0.25,Non-risky
64,5698-BQJOH,1.0,High-risky
65,5122-CYFXA,0.9,High-risky
66,8627-ZYGSZ,0.48,Non-risky
67,3410-YOQBQ,0.34,Non-risky
68,3170-NMYVV,0.0,Non-risky
69,7410-OIEDU,0.83,High-risky
70,2273-QCKXA,0.48,Non-risky
71,0731-EBJQB,0.01,Non-risky
72,1891-QRQSA,0.07,Non-risky
73,8028-PNXHQ,0.0,Non-risky
74,5630-AHZIL,0.43,Non-risky
75,2673-CXQEU,0.75,Risky
76,6416-JNVRK,0.02,Non-risky
77,5590-ZSKRV,0.17,Non-risky
78,0191-ZHSKZ,0.72,Risky
79,3887-PBQAO,0.02,Non-risky
80,5919-TMRGD,1.0,High-risky
81,8108-UXRQN,0.69,Risky
82,9191-MYQKX,1.0,High-risky
83,9919-YLNNG,0.69,Risky
84,0318-ZOPWS,0.0,Non-risky
85,4445-ZJNMU,1.0,High-risky
86,4808-YNLEU,0.04,Non-risky
87,1862-QRWPE,0.0,Non-risky
88,2796-NNUFI,0.0,Non-risky
89,3016-KSVCP,0.33,Non-risky
90,4767-HZZHQ,0.82,High-risky
91,2424-WVHPL,0.94,High-risky
92,7233-PAHHL,0.0,Non-risky
93,6067-NGCEU,0.26,Non-risky
94,9848-JQJTX,0.02,Non-risky
95,8637-XJIVR,0.98,High-risky
96,9803-FTJCG,0.0,Non-risky
97,0278-YXOOG,0.03,Non-risky
98,3212-KXOCR,0.0,Non-risky
99,4598-XLKNJ,1.0,High-risky
100,6380-ARCEH,0.98,High-risky
101,3679-XASPY,0.14,Non-risky
102,7123-WQUHX,0.08,Non-risky
103,5386-THSLQ,0.14,Non-risky
104,3192-NQECA,0.56,Risky
105,6180-YBIQI,0.16,Non-risky
106,6728-DKUCO,0.2,Non-risky
107,9750-BOOHV,0.02,Non-risky
108,8597-CWYHH,0.55,Risky
109,2848-YXSMW,0.0,Non-risky
110,0486-HECZI,0.72,Risky
111,4549-ZDQYY,0.1,Non-risky
112,5712-AHQNN,0.51,Risky
113,4846-WHAFZ,1.0,High-risky
